order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date,product_id,seller_id,price,shipping_charges,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm,payment_sequential,payment_type,payment_installments,payment_value,customer_zip_code_prefix,customer_city,customer_state
Axfy13Hk4PIk,hCT0x9JiGXBQ,delivered,2017-10-22 18:57:54,2017-10-22 19:14:13,2017-10-26 22:19:52,2017-11-09,90K0C1fIyQUf,ZWM05J9LcBSF,223.51,84.65,toys,491.0,19.0,12.0,16.0,1,credit_card,1.0,259.14,58125,varzea paulista,SP
v6px92oS8cLG,PxA7fv9spyhx,delivered,2018-06-20 21:40:31,2018-06-20 22:20:20,2018-07-03 22:51:22,2018-07-24,qejhpMGGVcsl,IjlpYfhUbRQs,170.8,23.79,watches_gifts,440.0,18.0,14.0,17.0,1,credit_card,8.0,382.39,3112,armacao dos buzios,RJ
Ulpf9skrhjfm,g3nXeJkGI0Qw,delivered,2018-02-16 16:19:31,2018-02-17 16:15:35,2018-02-27 01:29:50,2018-03-08,qUS5d2pEAyxJ,77p2EYxcM9MD,64.4,17.38,costruction_tools_garden,2200.0,16.0,16.0,16.0,1,credit_card,4.0,249.25,4119,jandira,SP
bwJVWupf2keN,EOEsCQ6QlpIg,delivered,2018-08-18 18:04:29,2018-08-18 18:15:16,2018-08-27 20:03:51,2018-09-19,639iGvMyv0De,jWzS0ayv9TGf,264.5,30.72,toys,1450.0,68.0,3.0,48.0,1,credit_card,2.0,27.79,18212,uberlandia,MG
Dd0QnrMk9Cj5,mVz5LO2Vd6cL,delivered,2017-12-22 16:44:04,2017-12-22 17:31:31,2018-01-05 19:22:49,2018-01-18,1lycYGcsic2F,l1pYW6GBnPMr,779.9,30.66,toys,300.0,17.0,4.0,12.0,1,credit_card,1.0,76.15,88868,ilhabela,SP
VjTVGzqe8U6R,UkqnhxmX7YMP,delivered,2017-09-01 14:38:16,2017-09-01 14:50:24,2017-09-15 18:57:50,2017-09-26,TpFZIk33uyGn,XePbD5Ocm6Yk,263.9,40.26,toys,2800.0,16.0,31.0,39.0,1,credit_card,4.0,673.02,25902,porto uniao,SC
xNba906m4TM1,85jiDiGSfhTu,delivered,2018-04-23 21:03:00,2018-04-24 18:18:18,2018-04-25 20:14:38,2018-05-04,Y0T4Ca4BXK8U,ftbUjJ6Gsazg,907.6374999999999,98.76,bed_bath_table,3975.0,46.0,12.0,43.0,1,credit_card,1.0,123.79,4762,guarulhos,SP
VEDSMTavbQwk,gDdkaN8b9s1g,delivered,2018-02-23 14:49:39,2018-02-23 15:16:13,2018-04-02 14:12:50,2018-03-15,IUykT5z5LcPW,RKad98cTxhSb,907.6374999999999,66.9,toys,250.0,45.0,15.0,35.0,1,credit_card,5.0,146.51,75870,mogi-guacu,SP
DzNM8wrcMGFH,9Csx6oXlpLl1,delivered,2017-11-24 19:12:37,2017-11-25 04:54:03,2017-12-11 13:09:32,2017-12-14,0UHKKyYmxWfq,K0qPVGdA91KO,779.0,34.86,toys,1200.0,30.0,23.0,30.0,1,wallet,1.0,673.02,69068,bebedouro,SP
NpJz7zF9U1ae,gZTPKLPRnreg,delivered,2017-11-30 11:48:21,2017-11-30 13:31:19,2017-12-14 16:38:47,2018-01-03,MJ82dNJNiV7U,2a07LobkzHUx,95.03,60.35,toys,1500.0,30.0,5.0,20.0,1,credit_card,6.0,87.3,20921,sao paulo,SP
